Sheep		BlackSheep	RedSheep	Wolf
0,0,1,0		0,0,1,0		0,0,1,0		0,0,5,0
0,0,0,1		0,0,0,1		0,0,0,1		0,0,0,5
0,1,0,0		1,0,0,0		1,0,0,0		3,0,2,0
0,1,0,0		0,1,0,0		0,1,0,0		0,5,0,0
0,0,0,0		0,0,1,0		0,0,1,0		0,0,5,0
0,0,0,1		0,0,0,1		0,0,1,0		0,0,0,5
1,0,0,0		1,0,0,0		1,0,0,0		5,0,0,0
0,1,0,0		0,1,0,0		0,1,0,0		1,4,0,0
0,0,0,0		0,0,1,0		0,0,1,0		0,0,5,0
0,0,0,1		0,0,0,1		0,0,0,1		0,0,0,5
1,0,0,0		1,0,0,0		1,0,0,0		5,0,0,0
0,1,0,0		0,1,0,0		0,1,0,0		0,5,0,0
0,0,1,0		0,1,0,0		0,0,1,0		0,0,1,4
0,0,0,1		0,0,0,1		0,0,0,1		0,0,0,5
1,0,0,0		1,0,0,0		1,0,0,0		5,0,0,0
0,1,0,0		0,1,0,0		0,1,0,0		0,15,0,0
0,0,1,0		0,0,1,0		1,0,0,0		0,0,25,0
0,0,0,1		0,0,0,1		0,0,0,1		7,0,0,2
1,0,0,0		1,0,0,0		1,0,0,0		5,0,0,0
0,1,0,0		0,0,0,1		0,1,0,0		0,2,0,2

